rxcui,drug,product_ndc,brand_name
723,amoxicillin,0093-8675,Amoxicillin and Clavulanate Potassium
733,ampicillin,55150-117,Ampicillin and Sulbactam
203195,penicillin V potassium,68071-4753,Penicillin V Potassium
8339,piperacillin,55150-474,Piperacillin and Tazobactam
29046,lisinopril,51655-999,Lisinopril
3827,enalapril,0187-0140,Vasotec
52175,losartan,71335-0262,Losartan Potassium
69749,valsartan,57845-1004,valsartan
83367,atorvastatin,50090-5181,Atorvastatin Calcium
36567,simvastatin,70518-1426,SIMVASTATIN
7646,omeprazole,60505-0065,Omeprazole
40790,pantoprazole,55154-4346,Pantoprazole Sodium
36437,sertraline,68645-523,Sertraline Hydrochloride
4493,fluoxetine,68071-5240,Fluoxetine
1991302,semaglutide,63552-200,semaglutide
327361,adalimumab,0597-0405,Cyltezo
6809,metformin,70010-496,METFORMIN HYDROCHLORIDE
17767,amlodipine,65691-0127,Phthaloyl Amlodipine
10582,levothyroxine,0074-7149,Synthroid
435,albuterol,49452-0226,Albuterol Sulfate
