plan_id,rxcui,drug,tier,prior_auth,step_therapy,quantity_limit,quantity_limit_qty,covered
COM-SILVER,29046,lisinopril,PREFERRED-GENERIC,false,false,false,,true
COM-SILVER,723,amoxicillin,GENERIC,false,false,false,,true
COM-SILVER,6809,metformin,PREFERRED-GENERIC,false,false,false,,true
COM-SILVER,83367,atorvastatin,PREFERRED-GENERIC,false,false,false,,true
COM-SILVER,7646,omeprazole,GENERIC,false,false,true,30/30d,true
COM-SILVER,36437,sertraline,GENERIC,false,false,false,,true
COM-SILVER,10582,levothyroxine,PREFERRED-GENERIC,false,false,false,,true
COM-SILVER,435,albuterol,GENERIC,false,false,false,,true
COM-SILVER,1991302,semaglutide,SPECIALTY,true,false,true,4pens/28d,true
COM-SILVER,327361,adalimumab,SPECIALTY,true,true,false,,true
COM-GOLD,29046,lisinopril,PREFERRED-GENERIC,false,false,false,,true
COM-GOLD,723,amoxicillin,GENERIC,false,false,false,,true
COM-GOLD,6809,metformin,PREFERRED-GENERIC,false,false,false,,true
COM-GOLD,83367,atorvastatin,PREFERRED-GENERIC,false,false,false,,true
COM-GOLD,7646,omeprazole,GENERIC,false,false,false,,true
COM-GOLD,36437,sertraline,GENERIC,false,false,false,,true
COM-GOLD,10582,levothyroxine,PREFERRED-GENERIC,false,false,false,,true
COM-GOLD,435,albuterol,GENERIC,false,false,false,,true
COM-GOLD,1991302,semaglutide,PREFERRED-BRAND,true,false,false,,true
COM-GOLD,327361,adalimumab,SPECIALTY,true,false,false,,true
MA-DEMO,29046,lisinopril,PREFERRED-GENERIC,false,false,false,,true
MA-DEMO,723,amoxicillin,GENERIC,false,false,false,,true
MA-DEMO,6809,metformin,PREFERRED-GENERIC,false,false,false,,true
MA-DEMO,83367,atorvastatin,PREFERRED-GENERIC,false,false,false,,true
MA-DEMO,7646,omeprazole,GENERIC,false,false,true,30/30d,true
MA-DEMO,36437,sertraline,GENERIC,false,false,false,,true
MA-DEMO,10582,levothyroxine,PREFERRED-GENERIC,false,false,false,,true
MA-DEMO,435,albuterol,GENERIC,false,false,false,,true
MA-DEMO,1991302,semaglutide,SPECIALTY,true,false,true,4pens/28d,true
MA-DEMO,327361,adalimumab,SPECIALTY,true,true,false,,true
EMP-PPO,29046,lisinopril,PREFERRED-GENERIC,false,false,false,,true
EMP-PPO,723,amoxicillin,GENERIC,false,false,false,,true
EMP-PPO,6809,metformin,PREFERRED-GENERIC,false,false,false,,true
EMP-PPO,83367,atorvastatin,GENERIC,false,false,false,,true
EMP-PPO,7646,omeprazole,GENERIC,false,false,true,30/30d,true
EMP-PPO,36437,sertraline,GENERIC,false,false,false,,true
EMP-PPO,10582,levothyroxine,PREFERRED-GENERIC,false,false,false,,true
EMP-PPO,435,albuterol,GENERIC,false,false,false,,true
EMP-PPO,1991302,semaglutide,NON-FORMULARY,false,false,true,4pens/28d,false
EMP-PPO,327361,adalimumab,SPECIALTY,true,true,false,,true
