zip5,lat,lon,state
27006,35.939004,-80.440264,NC
27007,36.38972,-80.588467,NC
27009,36.230922,-80.078651,NC
27011,36.220692,-80.692638,NC
27012,36.013155,-80.377628,NC
27013,35.750492,-80.700075,NC
27014,35.810049,-80.555744,NC
27016,36.447462,-80.218816,NC
27017,36.382016,-80.756218,NC
27018,36.197203,-80.518144,NC
27019,36.286886,-80.237725,NC
27020,36.112663,-80.811277,NC
27021,36.320319,-80.344721,NC
27022,36.512166,-80.215604,NC
27023,36.093825,-80.450175,NC
27024,36.519237,-80.841179,NC
27025,36.377985,-79.968222,NC
27027,36.441759,-79.988878,NC
27028,35.926999,-80.571086,NC
27030,36.489814,-80.629214,NC
27040,36.169312,-80.393045,NC
27041,36.415263,-80.484587,NC
27042,36.352819,-80.064203,NC
27043,36.338509,-80.448522,NC
27045,36.234398,-80.29607,NC
27046,36.502219,-80.078264,NC
27047,36.314134,-80.569112,NC
27048,36.482514,-79.917678,NC
27050,36.226442,-80.409707,NC
27051,36.195944,-80.153403,NC
27052,36.320755,-80.150453,NC
27053,36.475813,-80.3618,NC
27054,35.79254,-80.597888,NC
27055,36.113907,-80.631194,NC
27101,36.11085,-80.20043,NC
27103,36.05823,-80.321496,NC
27104,36.090721,-80.331545,NC
27105,36.161886,-80.23431,NC
27106,36.14391,-80.323157,NC
27107,36.013158,-80.175491,NC
27109,36.133731,-80.275408,NC
27110,36.089246,-80.224832,NC
27127,36.020708,-80.279817,NC
27201,36.034172,-79.484829,NC
27202,36.18558,-79.506028,NC
27203,35.728462,-79.78653,NC
27205,35.638259,-79.850866,NC
27207,35.607613,-79.390517,NC
27208,35.561896,-79.542943,NC
27209,35.342999,-79.753291,NC
27212,36.480967,-79.279856,NC
27213,35.649255,-79.40828,NC
27214,36.206055,-79.671126,NC
27215,36.019137,-79.5137,NC
27217,36.190945,-79.380185,NC
27229,35.239746,-79.791592,NC
27231,36.195182,-79.174669,NC
27233,35.892512,-79.70498,NC
27235,36.100025,-80.006776,NC
27239,35.601229,-80.09028,NC
27242,35.329657,-79.648955,NC
27243,36.060588,-79.201831,NC
27244,36.215823,-79.4866,NC
27247,35.460914,-79.787864,NC
27248,35.783195,-79.716461,NC
27249,36.162677,-79.582432,NC
27252,35.560325,-79.354984,NC
27253,35.966166,-79.347361,NC
27256,35.560484,-79.27462,NC
27258,36.083422,-79.351288,NC
27259,35.491435,-79.526237,NC
27260,35.954222,-79.987055,NC
27262,35.96313,-80.041667,NC
27263,35.911554,-79.936803,NC
27265,36.009229,-80.032388,NC
27268,35.971402,-79.994698,NC
27278,36.090195,-79.086929,NC
27281,35.187442,-79.625115,NC
27282,35.996346,-79.931842,NC
27283,35.951474,-79.635418,NC
27284,36.116121,-80.081865,NC
27288,36.497645,-79.750015,NC
27291,36.418316,-79.168428,NC
27292,35.738325,-80.207547,NC
27295,35.867644,-80.317083,NC
27298,35.885115,-79.567545,NC
27299,35.753068,-80.377451,NC
27301,36.11351,-79.665656,NC
27302,36.135763,-79.263348,NC
27305,36.51577,-79.216717,NC
27306,35.225229,-79.980186,NC
27310,36.174072,-79.992233,NC
27311,36.479651,-79.472563,NC
27312,35.756208,-79.196588,NC
27313,35.931448,-79.758055,NC
27314,36.31036,-79.19625,NC
27315,36.510175,-79.403503,NC
27316,35.697013,-79.625793,NC
27317,35.840737,-79.802499,NC
27320,36.341488,-79.658824,NC
27325,35.463598,-79.566313,NC
27326,36.464116,-79.556845,NC
27330,35.517067,-79.18321,NC
27332,35.372219,-79.148794,NC
27340,35.945481,-79.310108,NC
27341,35.523759,-79.695909,NC
27342,36.06636,-79.618597,NC
27343,36.504089,-79.075873,NC
27344,35.722316,-79.433692,NC
27349,35.895086,-79.418086,NC
27350,35.808253,-79.888213,NC
27351,35.659775,-80.267892,NC
27355,35.786858,-79.567836,NC
27356,35.436865,-79.804272,NC
27357,36.2666,-79.970625,NC
27358,36.228232,-79.880061,NC
27360,35.86058,-80.099288,NC
27370,35.809298,-79.97798,NC
27371,35.40575,-79.948344,NC
27374,35.91758,-80.257749,NC
27376,35.261099,-79.521811,NC
27377,36.038036,-79.599395,NC
27379,36.361127,-79.347762,NC
27401,36.070822,-79.767692,NC
27403,36.064078,-79.825417,NC
27405,36.115379,-79.734641,NC
27406,35.99795,-79.766734,NC
27407,36.013367,-79.871391,NC
27408,36.103667,-79.813712,NC
27409,36.071751,-79.964858,NC
27410,36.118615,-79.894851,NC
27411,36.076615,-79.771513,NC
27412,36.068277,-79.810061,NC
27455,36.187426,-79.81744,NC
27501,35.484949,-78.684574,NC
27502,35.719615,-78.907172,NC
27503,36.152977,-78.884452,NC
27504,35.400317,-78.518271,NC
27505,35.406599,-79.004422,NC
27506,35.408583,-78.739274,NC
27507,36.513808,-78.552466,NC
27508,35.959012,-78.25091,NC
27509,36.131468,-78.773709,NC
27510,35.909835,-79.081253,NC
27511,35.76395,-78.786576,NC
27513,35.80198,-78.802573,NC
27514,35.966563,-79.052136,NC
27516,35.906197,-79.154855,NC
27517,35.842663,-79.032015,NC
27518,35.731139,-78.773206,NC
27519,35.808392,-78.886546,NC
27520,35.611762,-78.47639,NC
27521,35.412121,-78.655865,NC
27522,36.105618,-78.675202,NC
27523,35.773618,-78.956926,NC
27524,35.391825,-78.378763,NC
27525,36.146064,-78.474143,NC
27526,35.543991,-78.829796,NC
27527,35.653948,-78.381715,NC
27529,35.638515,-78.580881,NC
27530,35.382697,-78.061142,NC
27531,35.343617,-77.967369,NC
27533,35.38746,-78.038964,NC
27534,35.369273,-77.886872,NC
27536,36.325908,-78.406772,NC
27537,36.358726,-78.398384,NC
27539,35.676533,-78.813447,NC
27540,35.620169,-78.865047,NC
27541,36.264862,-79.083217,NC
27542,35.618293,-78.136838,NC
27544,36.191235,-78.440476,NC
27545,35.783679,-78.483355,NC
27546,35.385348,-78.862122,NC
27549,36.099641,-78.251246,NC
27551,36.432843,-78.05017,NC
27553,36.486498,-78.302798,NC
27555,35.562379,-78.203517,NC
27556,36.396988,-78.309433,NC
27557,35.779135,-78.198512,NC
27559,35.628213,-79.102818,NC
27560,35.8576,-78.827114,NC
27562,35.641978,-78.975581,NC
27563,36.421506,-78.221435,NC
27565,36.361651,-78.648952,NC
27568,35.511274,-78.24291,NC
27569,35.429475,-78.172122,NC
27570,36.438631,-78.236608,NC
27571,35.9246,-78.461452,NC
27572,36.255106,-78.877494,NC
27573,36.399018,-78.975126,NC
27574,36.475265,-78.842101,NC
27576,35.577524,-78.261311,NC
27577,35.491935,-78.344614,NC
27581,36.203077,-78.736103,NC
27582,36.447352,-78.569089,NC
27583,36.309693,-78.930583,NC
27584,36.493383,-78.445998,NC
27587,35.980838,-78.55105,NC
27589,36.322541,-78.133484,NC
27591,35.78417,-78.388984,NC
27592,35.55738,-78.67227,NC
27593,35.585803,-78.362338,NC
27594,36.472959,-78.166215,NC
27596,35.99965,-78.434962,NC
27597,35.841624,-78.302798,NC
27599,35.904045,-79.052134,NC
27601,35.773661,-78.634563,NC
27603,35.664796,-78.653677,NC
27604,35.822932,-78.562057,NC
27605,35.790408,-78.654564,NC
27606,35.742323,-78.715478,NC
27607,35.817784,-78.727509,NC
27608,35.8103,-78.648658,NC
27609,35.843765,-78.633643,NC
27610,35.7444,-78.546278,NC
27612,35.850277,-78.703864,NC
27613,35.926102,-78.711414,NC
27614,35.94593,-78.619494,NC
27615,35.898491,-78.635653,NC
27616,35.866514,-78.541313,NC
27617,35.908845,-78.772396,NC
27695,35.785489,-78.67893,NC
27697,35.778803,-78.622967,NC
27701,35.99924,-78.897944,NC
27703,35.961286,-78.805228,NC
27704,36.042446,-78.828771,NC
27705,36.025112,-78.982067,NC
27707,35.954525,-78.953317,NC
27708,36.0001,-78.943102,NC
27709,35.920066,-78.867067,NC
27712,36.095484,-78.904075,NC
27713,35.883522,-78.935541,NC
27801,35.913446,-77.725699,NC
27803,35.891404,-77.84949,NC
27804,35.989164,-77.842711,NC
27805,36.208571,-77.088582,NC
27806,35.304999,-76.756067,NC
27807,35.811382,-78.085982,NC
27808,35.467089,-76.759752,NC
27809,36.016777,-77.74162,NC
27810,35.549649,-76.512464,NC
27812,35.805032,-77.376162,NC
27813,35.634739,-77.937516,NC
27814,35.380118,-76.932428,NC
27815,35.924689,-77.693027,NC
27816,36.108768,-78.072959,NC
27817,35.451821,-77.081218,NC
27818,36.499725,-77.018505,NC
27819,35.814154,-77.457328,NC
27820,36.421515,-77.241567,NC
27821,35.322066,-76.874087,NC
27822,35.807012,-77.840457,NC
27823,36.209653,-77.713733,NC
27824,35.551546,-76.005215,NC
27825,35.835279,-77.171481,NC
27826,35.59534,-76.243592,NC
27827,35.698211,-77.512233,NC
27828,35.585151,-77.577415,NC
27829,35.699996,-77.605652,NC
27830,35.564168,-77.950309,NC
27831,36.463087,-77.570553,NC
27832,36.519809,-77.740128,NC
27834,35.65677,-77.379527,NC
27837,35.513865,-77.2046,NC
27839,36.284912,-77.55688,NC
27840,35.929708,-77.238886,NC
27841,35.908579,-77.27636,NC
27842,36.526749,-77.851988,NC
27843,35.995534,-77.400001,NC
27844,36.242713,-77.946425,NC
27845,36.371267,-77.43999,NC
27846,35.758568,-76.897527,NC
27847,36.178202,-77.201851,NC
27849,36.077306,-77.215025,NC
27850,36.412391,-77.880191,NC
27851,35.640083,-78.030678,NC
27852,35.750459,-77.636931,NC
27853,36.515237,-77.307178,NC
27855,36.415557,-77.069339,NC
27856,36.01368,-77.980574,NC
27857,35.970826,-77.261068,NC
27858,35.532451,-77.282787,NC
27860,35.664163,-76.635302,NC
27861,35.817205,-77.319014,NC
27862,36.490175,-77.188291,NC
27863,35.488165,-77.971796,NC
27864,35.801141,-77.649403,NC
27865,35.664024,-76.899975,NC
27866,36.519869,-77.514565,NC
27869,36.267105,-77.313433,NC
27870,36.425216,-77.695139,NC
27871,35.802069,-77.260565,NC
27872,36.200954,-77.246027,NC
27873,35.653316,-77.776044,NC
27874,36.129011,-77.410692,NC
27875,35.455706,-76.504667,NC
27876,36.474414,-77.405107,NC
27877,36.51881,-77.192219,NC
27878,35.866059,-77.830532,NC
27879,35.574488,-77.279651,NC
27880,35.730736,-78.080589,NC
27881,35.97022,-77.442266,NC
27882,35.942383,-78.118404,NC
27883,35.592408,-77.804368,NC
27884,35.70352,-77.266635,NC
27885,35.420015,-76.247278,NC
27886,35.904662,-77.511738,NC
27888,35.595826,-77.702269,NC
27889,35.580432,-77.025019,NC
27890,36.41418,-77.587745,NC
27891,36.097735,-77.742789,NC
27892,35.819171,-77.063472,NC
27893,35.693766,-77.904137,NC
27896,35.791004,-77.976382,NC
27897,36.324597,-77.20968,NC
27909,36.288605,-76.268734,NC
27910,36.281756,-76.993403,NC
27915,35.336654,-75.512063,NC
27916,36.329315,-75.920051,NC
27917,36.355136,-75.997463,NC
27919,36.308171,-76.504283,NC
27920,35.253294,-75.538313,NC
27921,36.3298,-76.147832,NC
27922,36.316755,-76.84221,NC
27923,36.368236,-75.930826,NC
27924,36.168447,-76.832521,NC
27925,35.841184,-76.173324,NC
27926,36.505115,-76.604925,NC
27927,36.331206,-75.851203,NC
27928,35.808824,-76.437748,NC
27929,36.439195,-76.016487,NC
27932,36.09419,-76.588045,NC
27935,36.431079,-76.868092,NC
27936,35.247856,-75.59873,NC
27937,36.512279,-76.773947,NC
27938,36.384296,-76.716,NC
27939,36.235206,-75.879817,NC
27941,36.092315,-75.822829,NC
27942,36.297139,-76.750854,NC
27943,35.207826,-75.717187,NC
27944,36.180897,-76.403244,NC
27946,36.364231,-76.590231,NC
27947,36.167137,-75.853521,NC
27948,36.019229,-75.692172,NC
27949,36.109859,-75.745433,NC
27950,36.500551,-75.973664,NC
27953,35.803985,-75.875404,NC
27954,35.91271,-75.685335,NC
27956,36.399985,-76.001115,NC
27957,36.066297,-76.759059,NC
27958,36.501198,-76.17333,NC
27959,35.891936,-75.603436,NC
27960,35.073231,-75.998527,NC
27962,35.762002,-76.776452,NC
27964,36.127053,-75.804257,NC
27965,36.292401,-75.932948,NC
27966,36.125626,-75.848248,NC
27967,36.222319,-76.908397,NC
27968,35.658631,-75.489189,NC
27969,36.463307,-76.802587,NC
27970,35.908747,-76.620202,NC
27972,35.552458,-75.471299,NC
27973,36.371209,-76.055514,NC
27974,36.243057,-75.989559,NC
27976,36.47861,-76.336271,NC
27978,35.672202,-75.773128,NC
27979,36.436768,-76.560679,NC
27980,36.245324,-76.619385,NC
27981,35.852855,-75.637424,NC
27982,35.5659,-75.465481,NC
27983,35.96203,-76.935766,NC
27985,36.218808,-76.473719,NC
27986,36.388979,-76.918295,NC
28001,35.338552,-80.208179,NC
28006,35.410436,-81.092005,NC
28007,35.121694,-80.130521,NC
28009,35.407846,-80.107195,NC
28012,35.211504,-81.037865,NC
28016,35.314932,-81.283292,NC
28017,35.247082,-81.670682,NC
28018,35.48898,-81.803385,NC
28019,35.283896,-81.793877,NC
28020,35.524091,-81.643245,NC
28021,35.400774,-81.403346,NC
28023,35.568585,-80.602542,NC
28024,35.24331,-81.770575,NC
28025,35.382565,-80.523443,NC
28027,35.413317,-80.67547,NC
28031,35.475193,-80.893685,NC
28032,35.233033,-81.079513,NC
28033,35.419107,-81.328427,NC
28034,35.353664,-81.178943,NC
28036,35.482087,-80.793351,NC
28037,35.495486,-81.018484,NC
28039,35.680389,-80.436238,NC
28040,35.389977,-81.752184,NC
28041,35.587422,-80.462535,NC
28042,35.422984,-81.507477,NC
28043,35.312387,-81.870315,NC
28052,35.227964,-81.231691,NC
28054,35.261363,-81.15015,NC
28056,35.216936,-81.125003,NC
28071,35.517515,-80.315893,NC
28072,35.613219,-80.442328,NC
28073,35.198574,-81.483785,NC
28074,35.239358,-81.878193,NC
28075,35.30191,-80.63927,NC
28076,35.256446,-81.77952,NC
28077,35.404802,-81.20277,NC
28078,35.404779,-80.866541,NC
28079,35.114666,-80.600597,NC
